amr1
"# ::id 0
# ::annotator indoamrbart-mbart-fted
# ::snt ""Amrozi menuduh saudaranya, yang ia sebut """"saksi"""", dengan sengaja mendistorsi buktinya.""
(z0 / menu-01
# ::snt """"""Prakiraan SIA mencerminkan realitas baru industri semikonduktor dengan tingkat pertumbuhan 8-10 persen"""", George Scalise, presiden asosiasi perdagangan, mengatakan dalam sebuah pernyataan.""
(z0 / mengatakan-01
    :ARG0 (z1 / orang
              :wiki -
              :name (z2 / nama
                        :op1 ""George""
                        :op2 ""Scalise"")
              :ARG0-of (z3 / memiliki-peran-org-91
                           :ARG1 (z4 / asosiasi
                                     :mod (z5 / perdagangan))
                           :ARG2 (z6 / presiden)))
    :location (z7 / pernyataan))"
"# ::id 275
# ::annotator indoamrbart-mbart-fted
# ::snt Delapan puluh enam pekerja yang terluka serius di AS diterbangkan untuk perawatan medis.
(z0 / terbang-01
    :ARG1 (z1 / orang
              :ARG0-of (z2 / bekerja-01)
              :ARG1 (z3 / terluka-01
                        :ARG1-of (z4 / serius-01))
              :location (z5 / negara
                            :wiki ""UnitedStates""
                            :name (z6 / nama
                                      :op1 ""AS"")))
    :destination (z7 / medis))"
"# ::id 276
# ::annotator indoamrbart-mbart-fted
# ::snt Burns percaya bahwa mengaku kejahatan yang tidak dilakukannya adalah satu-satunya jalan keluar, kata Richardson.
(z0 / kata-01
    :ARG0 (z1 / orang
              :wiki -
              :name (z2 / nama
                        :op1 ""Richardson""))
    :ARG1 (z3 / menilai-01
              :ARG0 (z4 / orang
                        :ARG0-of (z5 / memiliki-peran-rel-91
                                     :ARG2 (z6 / anak)))
              :ARG1 (z7 / jalan
                        :ARG1-of (z8 / keluar-01)
                        :domain (z9 / klaim-01
                                    :ARG0 z4
                                    :ARG1 (z10 / kejahatan
                                               :ARG1-of (z11 / komit-01
                                                             :polarity -
                                                             :ARG0 z4))))))"
"# ::id 277
# ::annotator indoamrbart-mbart-fted
# ::snt Panggilan telepon ke kantor Spitzer, Citigroup dan Goldman Sachs tidak segera dikembalikan.
(z0 / kembali-01
    :polarity -
    :ARG1 (z1 / dan
              :op1 (z2 / telepon-01
                       :ARG2 (z3 / kantor
                                 :poss (z4 / orang
                                           :wiki -
                                           :name (z5 / nama
                                                     :op1 ""Spitzer""))))
              :op2 (z6 / telepon-01
                       :ARG2 (z7 / dan
                                 :op1 (z8 / perusahaan
                                          :wiki ""Citigroup""
                                          :name (z9 / nama
                                                    :op1 ""Citigroup""))
                                 :op2 (z10 / perusahaan
                                           :wiki ""GoldmanSachs""
                                           :name (z11 / nama
                                                      :op1 ""Goldman""
                                                      :op2 ""Sachs""))))))"
"# ::id 278
# ::annotator indoamrbart-mbart-fted
# ::snt Sebaliknya, Pengadilan Tinggi mengatakan bahwa pembuat obat tidak secara memadai menunjukkan mengapa rencana tersebut harus dicegah untuk tidak berlaku.
(z0 / katakan-01
    :ARG0 (z1 / organisasi-pemerintah
              :wiki -
              :name (z2 / nama
                        :op1 ""Pengadilan""
                        :op2 ""Tinggi""))
    :ARG1 (z3 / menunjukkan-01
              :ARG0 (z4 / orang
                        :ARG0-of (z5 / memiliki-peran-org-91
                                     :ARG2 (z6 / orang
                                               :ARG0-of (z7 / memiliki-peran-org-91
                                                            :ARG2 (z8 / ketua)))))
              :ARG1 (z9 / hal
                        :ARG0-of (z10 / menimbulkan-01
                                      :ARG1 (z11 / hentikan-01
                                                 :ARG1-of (z12 / berlaku-01))))
              :manner (z13 / memadai
                           :polarity -)))"
"# ::id 279
# ::annotator indoamrbart-mbart-fted
# ::snt Pakar medis mengatakan kondisinya agak mengkhawatirkan tetapi mudah dikelola.
(z0 / dan
    :op1 (z1 / khawatir-01
             :ARG0 (z2 / kondisi
                       :poss (z3 / dia))
             :degree (z4 / agak))
    :op2 (z5 / mudah-01
             :ARG1-of (z6 / lola-01)))"
"# ::id 280
# ::annotator indoamrbart-mbart-fted
# ::snt Joan B. Kroc, miliarder janda pendiri McDonald's Corp. Ray Kroc, meninggal pada hari Minggu setelah pertarungan singkat dengan kanker otak.
(z0 / meninggal-01
    :ARG0 (z1 / orang
              :wiki -
              :name (z2 / nama
                        :op1 ""Ray""
                        :op2 ""B.""
                        :op3 ""Kroc"")
              :ARG0-of (z3 / memiliki-peran-org-91
                           :ARG1 (z4 / perusahaan
                                     :wiki ""McDonald's""
                                     :name (z5 / nama
                                               :op1 ""McDonald's""
                                               :op2 ""Corp.""))
                           :ARG2 (z6 / miliarder
                                     :mod (z7 / janda))))
    :time (z8 / entitas-tanggal
              :weekday (z9 / minggu))
    :time (z10 / setelah
               :op1 (z11 / bertarung-01
                         :ARG0 z1
                         :ARG1 (z12 / kanker
                                    :mod (z13 / otak))
                         :mod (z14 / singkat))))"
"# ::id 281
# ::annotator indoamrbart-mbart-fted
# ::snt Perusahaan telah memperluas untuk menyediakan layanan lain untuk pembeli, termasuk layanan pembayaran.
(z0 / memperluas-01
    :ARG0 (z1 / perusahaan
              :wiki -
              :name (z2 / nama
                        :op1 ""Perusahaan""
                        :op2 ""Perusahaan""))
    :ARG1 (z3 / memberi-01
              :ARG0 z1
              :ARG1 (z4 / layanan
                        :mod (z5 / lain))
              :beneficiary (z6 / orang
                               :ARG0-of (z7 / beli-01))
              :ARG2-of (z8 / termasuk-01
                           :ARG1 (z9 / layanan
                                     :mod (z10 / pembayaran)))))"
"# ::id 282
# ::annotator indoamrbart-mbart-fted
# ::snt Seorang ibu Lamar yang ditangkap pada hari Sabtu di Colorado Springs dituduh menenggelamkan kedua anaknya di bak mandi sebelum menggorok pergelangan tangannya.
(z0 / menuduh-01
    :ARG1 (z1 / orang
              :wiki -
              :name (z2 / nama
                        :op1 ""Seorang""
                        :op2 ""Lamar"")
              :ARG0-of (z3 / memiliki-peran-rel-91
                           :ARG2 (z4 / ibu)))
    :ARG2 (z5 / enggelam-01
              :ARG0 z1
              :ARG1 (z6 / orang
                        :ARG0-of (z7 / memiliki-peran-rel-91
                                     :ARG2 (z8 / anak)))
              :location (z9 / bak
                            :mod (z10 / mandi))
              :time (z11 / entitas-tanggal
                         :weekday (z12 / saturday)))
    :location (z13 / kota
                   :wiki ""ColoradoSprings""
                   :name (z14 / nama
                              :op1 ""Colorado""
                              :op2 ""Springs"")))"
"# ::id 283
# ::annotator indoamrbart-mbart-fted
# ::snt Dia dikelilingi oleh sekitar 50 wanita yang menyesal melakukan aborsi.
(z0 / dikelilingi-01
    :ARG0 (z1 / wanita
              :quant (z2 / sekitar
                         :op1 50))
    :ARG1 (z3 / aborsi-01
              :ARG0 z1))"
"# ::id 284
# ::annotator indoamrbart-mbart-fted
# ::snt Cooley mengatakan dia berharap Muhammad juga akan disebut sebagai saksi pada sidang praperadilan untuk Malvo.
(z0 / katakan-01
    :ARG0 (z1 / orang
              :wiki -
              :name (z2 / nama
                        :op1 ""Cool""
                        :op2 ""Cool""))
    :ARG1 (z3 / berharap-01
              :ARG0 (z4 / dia)
              :ARG1 (z5 / rujuk-01
                        :ARG0 (z6 / orang
                                  :wiki -
                                  :name (z7 / nama
                                            :op1 ""Muhammad""))
                        :ARG1 (z8 / saksi-01
                                  :ARG0 z6
                                  :ARG1 (z9 / sidang
                                            :mod (z10 / praperadilan))
                                  :beneficiary (z11 / orang
                                                    :wiki -
                                                    :name (z12 / nama
                                                               :op1 ""Malvo"")))
